2018/10/09 14:31:09	|	process pid: 18664 	|	    4 attempt	|	    1 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/09 14:31:11	|	process pid: 18664 	|	    4 attempt	|	    2 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/09 14:31:25	|	process pid: 18664 	|	    6 attempt	|	    2 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/09 14:31:34	|	process pid: 18664 	|	    7 attempt	|	    2 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/09 14:31:38	|	process pid: 18664 	|	    7 attempt	|	    3 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/09 14:33:20	|	process pid: 10700 	|	    2 attempt	|	    1 successful click	|	    0 timeout	|	     0 recaptcha 	|	    0 error
2018/10/09 14:33:21	|	process pid: 10700 	|	    2 attempt	|	    2 successful click	|	    0 timeout	|	     0 recaptcha 	|	    0 error
2018/10/09 14:34:17	|	process pid: 10700 	|	    4 attempt	|	    2 successful click	|	    2 timeout	|	     1 recaptcha 	|	    0 error
2018/10/09 14:34:23	|	process pid: 10700 	|	    4 attempt	|	    2 successful click	|	    2 timeout	|	     2 recaptcha 	|	    0 error
2018/10/09 14:34:46	|	process pid: 10700 	|	    6 attempt	|	    3 successful click	|	    2 timeout	|	     2 recaptcha 	|	    0 error
2018/10/09 14:34:49	|	process pid: 10700 	|	    6 attempt	|	    4 successful click	|	    2 timeout	|	     2 recaptcha 	|	    0 error
2018/10/09 14:35:03	|	process pid: 10700 	|	    8 attempt	|	    4 successful click	|	    2 timeout	|	     3 recaptcha 	|	    0 error
2018/10/09 14:35:04	|	process pid: 10700 	|	    8 attempt	|	    4 successful click	|	    2 timeout	|	     4 recaptcha 	|	    0 error
